h,r,t
170,193826,1
1503,95602,1
575,61657,1
2130,150080,1
1510,212795,1
421,134073,1
2333,92957,1
1023,144871,1
940,127890,1
283,72457,1
129,74998,1
102,128589,1
463,141341,1
1736,74508,1
305,157154,1
869,144756,1
1516,124609,1
2464,177403,1
1982,104680,1
1767,55843,1
2424,165886,1
1185,196191,1
573,210204,1
1143,165573,1
759,78046,1
2374,210643,1
1247,109793,1
1349,214725,1
614,201996,1
2264,189348,1
759,107753,1
1003,86703,1
2224,205399,1
758,110380,1
825,89996,1
141,145082,1
573,86463,1
720,138933,1
1979,113982,1
1956,205616,1
175,204832,1
253,191196,1
1873,113970,1
891,187177,1
1197,84524,1
117,208923,1
194,191858,1
808,124512,1
1949,183306,1
1215,137695,1
1945,93057,1
505,65298,1
1485,89766,1
2115,77348,1
1003,146318,1
505,47638,1
1673,160778,1
1163,164067,1
16,84536,1
199,194720,1
2071,162142,1
882,126735,1
1536,48165,1
990,137124,1
1139,70964,1
2310,205253,1
805,113207,1
940,112645,1
1338,187727,1
849,173049,1
2166,86545,1
1143,157370,1
77,134940,1
1187,134839,1
1197,183754,1
94,98047,1
1950,201242,1
16,152798,1
93,150532,1
508,151218,1
2476,203782,1
2459,88031,1
2224,148673,1
2435,197287,1
1666,212525,1
705,109326,1
481,185459,1
1008,62546,1
1870,151198,1
2488,120217,1
1084,177740,1
699,213925,1
782,102403,1
1673,146355,1
931,160633,1
1351,109301,1
1859,174523,1
267,188971,1
254,80738,1
1779,141284,1
2185,172897,1
1908,192721,1
270,107738,1
640,177819,1
963,164514,1
648,180770,1
309,101566,1
2129,219924,1
1304,83568,1
2324,131600,1
990,160181,1
1891,66605,1
1176,211274,1
1000,216749,1
1039,159262,1
1935,135460,1
813,51732,1
1693,173134,1
1651,114656,1
1352,133634,1
305,205134,1
1163,88704,1
1143,227890,1
1157,75709,1
1756,217868,1
20,149823,1
291,154138,1
505,116911,1
2243,52831,1
52,135939,1
270,137655,1
805,141269,1
1244,131468,1
1935,156625,1
1352,221274,1
1945,123167,1
1651,104396,1
1009,68534,1
1898,48481,1
2099,63764,1
2253,61223,1
1197,96983,1
1599,148428,1
830,140472,1
1625,118515,1
1039,139774,1
1219,206583,1
1280,131459,1
1656,128722,1
1003,81755,1
1779,178697,1
306,170744,1
1949,203060,1
1210,218306,1
2486,210433,1
75,155496,1
410,227325,1
1037,222518,1
